Abajo;Aynacha
Abortar;Sulluña
Abuela;Jach’a mama
Abuelo;Jach’a tata
Acariciar;Q’ayachiña
Aconsejar;Iwxaña
Adivinanza;Janhusiña
Adolescente;Maxt’a
Adulador;Llunk’u
Afligido;Llakisita
Agarrar;Katuña
Aglutinar;Apthapiña
Agregar;Apxataña
Agua;Uma
Ahora;Jichha
Ajo;Ajusa
Ala;Ch’iqa
Alegre;Kusisita
Alma;Axayu
Alpaca;Allpachu
Amanecer;Qhantati
Amargo;Xaru
Amarillo;Q’illu
Amasar;Ñatuuña
Anochecer;Chhaphu
Antepasado;Achachila
Antiguo;Layra/nayra
Año;Mara
Aprender;Yatintaña
Arbusto;T’ula
Arcoíris;Kurmi
Arenoso;Ch’alla ch’alla
Arrebatar;Aparaña
Arreglar;Askichaña
Componer;Askichaña
Arriba;Araxa/alaxa
Arriero;Anakiri
Asustar;Mulljaña
Atar;Chinuña
Atrás;Qhipha
Averiguar;Chhikhiniña
Avestruz;Suri
Ayer;Masuru
Ayudante;Yanapiri
Ayudar;Yanapaña
Azul;Larama
Bailar;Thuqhuña
Bandera;Wiphala
Beber;Umaña
Bicolor;Allqa
Bien;Wali
Bigote;Chhunkha
Blanco;Janq’u
Boca;Laka
Bofe;Chima
Bofedal;Xuqhu
Bolso;Xawayu
Bonita;Sumalla
Borrar;Chhaqhayaña
Bufanda;Chalina
Búho;Juku
Buscar;Thaqaña
Cabeza;P’iqi
Cadáver;Amaya
Cadera;Thixni
Caer;Tinkuña
Café;Ch ‘umphi
Calentar;Junt’uchaña
Caliente;Junt’u
Callado;Amuña
Callar;Amukt’aña
Camino;Thakhi
Canción;Kirki
Cantar;Kirkiña
Cara;Uñaxa
Cargar;Khumuña
Carnaval;Anata
Casa;Uta
Ceja;Nayra phichu
Celeste;Janq’u larama
Cerdo;Khuchhi
Cerrar;Jist’aña
Cerro;Qullu
Chacra;Yapu
Charlatán;Llawlli
Charqui;Ch’arkhi
Cerca;Jak’a
Ciego;Juykhu
Círculo;Muruqu
Coca;Kuka
Cocer;Ch’ukuña
Cocinar;Phayaña
Cocinero;Phayiri
Codo;Mujlli
Coger;Katjaña
Cola;Wich’inkha
Color;Phana
Color;Sami
Comer;Maq’aña
Comerciante;Aliri
Comprador;Alxiri
Complementariedad;Jikhisiyaña
Compositor;Askichiri
Comprar;Alaña
Comunidad;Ayllu
Cóndor;Kunturi
Conejo;Wank’u
Conocer;Uñt’aña
Consciente;Amuyt’asjawi
Consejero;Iwjiri
Consejo;Iwxa
Consenso;Amtawi
Contar;Wakhuña
Copiar;Qillqaqaña
Corazón;Lluqu
Cordillera;Suni
Cordón;T’isnu
Corral;Uyu
Corredor;Taniri
Atleta;Taniri
Correr;Taniña
Cosecha;Yapuchaña
Coser;Ch’ukuña
Costilla;Xarapi
Coterráneo;Marka masi
Crecer;Jilaña
Creer;Yawasaña
Cría;Qallu
Cuándo;Kunapacha
Cuello;Kunka
Cuento;Jawari
Cuerno;Waxra
Cuero;Lip’ichi
Culebra;Asirru
Culpable;Juchani
Cultura;Pacha qamasa
Curar;Qullaña
Dar;Churaña
Decir;Saña
Dedo;Luk’ana
Desayuno;Junt’uma
Despeinado;Ch’aska
Día;Uru
Dialogar;Parlasiña
Dibujar;Jamuqaña
Diccionario;Aru pirwa
Diente;Laka ch’akha
Difunto;Amaya
Diligente;K’unchhi
Discurso;Aruskipawi
Divorciado;Jaljtata
Donde;Kawki
Dormilón;Ikxara
Dormir;Ikiña
Dulce;Musq’a
Duro;Ch’ikhi
Él;Jupha
Encontrar;Jiqhataña
Enfermedad;Usu
Enojado;Tiputa
Enojarse;Tipusiña
Enseñar;Yatichaña
Entrar;Mantaña
Equilibrio;Taypi
Escasez;Awtiwa
Escoger;Ajlliña
Escribir;Qillqaña
Escritura;Qillqa
Escuchar;Ist’aña
Espalda;Jikhina
Espina;Ch’aphi
Espíritu;Ajayu
Estancia;Istanhsa
Estómago;Puraja
Falda;Jirphi
Feo;Jaxtaña
Feria;Qhathu
Feto;Sullu
Flojear;Jayrasiña
Flojo;Jayra
Flor;Phaxalli/ panqara
Fonema;Arsu
Frazada;Ikiña
Frente;Para
Frío;Ch’ji
Frontera;Qurpa
Fuego;Nina
Ganadero;Uywachiri
Ganado;Uywa
Ganador;Atipiri
Ganar;Atipaña
Gato;Michi
Girar;Muyuña
Gorro;Ch’ullu
Grande;Jach’a
Granizo;Chhijchi
Grasa;Lik’i
Guardar;Imaña
Guiar;Irpaña
Habas;Xawasa
Hablado;Arusita
Hablar;Arusiña
Hablemos;Arusiñani
Hacer;Luraña
Halcón;Mamani
Hambre;Awti
Hediondo;Thuska
Helada;Ch’iwi /juyphi
Hembra;Qachu
Hermana;Kullalla
Hermano;Jilalla/jilata
Hielo;Chhullunkhaya
Hígado;K’iwcha
Hilar;Qapuña
